Animal ID;Name;DateTime;Date of Birth;Outcome Type;Outcome Subtype;Animal Type;Sex upon Outcome;Age upon Outcome;Breed;Color
A822409;Ellie;09/08/2020 05:47:00 PM;03/19/2020;Adoption;;Dog;Spayed Female;5 months;German Shepherd/Labrador Retriever;Black/White
A799851;*Josiah;08/21/2019 06:16:00 PM;05/19/2019;Adoption;;Cat;Neutered Male;3 months;Domestic Shorthair;Black/White
A806021;Zeus;10/07/2019 01:27:00 PM;10/06/2015;Return to Owner;;Dog;Neutered Male;4 years;Pit Bull;Brown/White
A798634;*Franny;07/02/2019 02:11:00 PM;06/28/2017;Transfer;Partner;Cat;Intact Female;2 years;Manx;Black
A806637;;10/31/2019 02:26:00 PM;08/19/2019;Transfer;Partner;Cat;Intact Male;2 months;Domestic Medium Hair;Black
A804532;;09/19/2019 05:06:00 PM;07/15/2019;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair;Blue
A722861;Rufus;03/27/2019 12:59:00 PM;12/23/2015;Return to Owner;;Dog;Neutered Male;3 years;Labrador Retriever Mix;White/Brown
A820528;;07/29/2020 02:03:00 PM;05/22/2020;Transfer;Partner;Dog;Intact Male;2 months;Boxer/Labrador Retriever;Tan/Black
A815536;Tank;03/24/2020 11:49:00 AM;04/18/2019;Return to Owner;;Dog;Intact Male;11 months;Pit Bull;Brown/White
A809678;;12/01/2019 04:13:00 PM;09/29/2019;Adoption;;Dog;Neutered Male;2 months;Australian Cattle Dog/German Shepherd;Brown/Tricolor
A821460;;08/13/2020 09:29:00 AM;08/12/2019;Euthanasia;Rabies Risk;Other;Unknown;1 year;Bat;Black
A806473;;10/14/2019 11:11:00 AM;10/11/2011;Euthanasia;Rabies Risk;Cat;Neutered Male;8 years;Domestic Shorthair;Blue/White
A762670;Chester;07/07/2020 02:16:00 PM;11/23/2016;Adoption;Foster;Dog;Neutered Male;3 years;Staffordshire Mix;Brown Brindle
A823939;*311 Grams;10/02/2020 04:29:00 PM;09/17/2020;Transfer;Partner;Cat;Intact Male;2 weeks;Domestic Shorthair;Brown Tabby/White
A808433;Coal;11/09/2019 11:32:00 AM;03/08/2010;Transfer;Partner;Dog;Neutered Male;9 years;Dachshund;Black/Gray
A821724;*Sonya;09/08/2020 02:02:00 PM;08/18/2018;Transfer;Partner;Dog;Spayed Female;2 years;Great Dane Mix;Black/White
A805088;;09/28/2019 05:56:00 PM;06/22/2019;Adoption;;Dog;Spayed Female;3 months;Labrador Retriever Mix;Black/White
A786579;;01/06/2019 07:15:00 PM;01/03/2012;Adoption;;Dog;Neutered Male;7 years;Rat Terrier Mix;White/Tan
A787294;Betty;01/16/2019 05:06:00 PM;01/10/2017;Adoption;;Dog;Spayed Female;2 years;Chihuahua Shorthair Mix;Cream
A804268;;09/12/2019 12:00:00 AM;09/12/2017;Died;Enroute;Dog;Intact Male;2 years;Miniature Poodle;White/Gray
A785732;;01/27/2019 02:27:00 PM;08/08/2018;Adoption;;Cat;Spayed Female;5 months;Domestic Shorthair Mix;Silver Tabby
A782911;Dobby;01/10/2019 04:35:00 PM;06/24/2018;Adoption;;Dog;Neutered Male;6 months;Chihuahua Shorthair Mix;Red
A792923;Duncan;04/17/2019 12:56:00 PM;04/17/2017;Return to Owner;;Dog;Neutered Male;2 years;Australian Shepherd Mix;Chocolate/Tricolor
A827177;;12/17/2020 04:51:00 PM;12/15/2012;Transfer;Partner;Cat;Neutered Male;8 years;Siamese;Lynx Point
A797707;;06/19/2019 10:25:00 PM;06/17/2017;Euthanasia;Suffering;Dog;Intact Male;2 years;Chihuahua Shorthair;White/Brown
A799450;;07/12/2019 05:19:00 PM;04/08/2019;Adoption;;Cat;Neutered Male;3 months;Domestic Shorthair;Brown Tabby
A819783;*Calypso;09/14/2020 11:06:00 AM;05/08/2020;Adoption;Foster;Cat;Spayed Female;4 months;Domestic Shorthair;Black
A783962;Billie;01/15/2020 04:08:00 PM;12/20/2017;Adoption;;Dog;Spayed Female;2 years;Siberian Husky Mix;Black/White
A799760;*Poet;07/18/2019 04:32:00 PM;02/10/2019;Adoption;;Dog;Spayed Female;5 months;Labrador Retriever Mix;Tan/White
A821708;Mango;11/25/2020 11:28:00 AM;08/02/2020;Adoption;;Cat;Neutered Male;3 months;Domestic Shorthair Mix;Orange Tabby/White
A814908;*Sullivan;05/12/2020 10:40:00 AM;02/16/2020;Adoption;Foster;Dog;Neutered Male;2 months;Australian Shepherd Mix;White/Red Tick
A809168;*Phoebe;12/08/2019 12:18:00 PM;02/20/2019;Adoption;;Cat;Spayed Female;9 months;Domestic Shorthair;Tortie
A810647;Flame;02/24/2020 12:07:00 PM;04/17/2019;Adoption;;Cat;Neutered Male;10 months;Domestic Shorthair Mix;Orange Tabby
A807946;Dios;11/05/2019 12:56:00 PM;11/01/2018;Adoption;;Dog;Neutered Male;1 year;Siberian Husky;Black/White
A787811;Choco;01/20/2019 06:26:00 PM;07/01/2018;Return to Owner;;Dog;Neutered Male;6 months;Australian Shepherd Mix;Chocolate/Tricolor
A801552;;09/04/2019 01:00:00 PM;07/05/2019;Transfer;Partner;Cat;Intact Male;1 month;Domestic Shorthair;White/Blue
A797673;;06/21/2019 03:14:00 PM;04/16/2019;Transfer;Partner;Cat;Intact Male;2 months;Domestic Shorthair;Brown Tabby
A818141;;06/11/2020 02:17:00 PM;06/02/2018;Adoption;;Other;Intact Male;2 years;Guinea Pig;White/White
A823473;*Skeletora;10/20/2020 11:10:00 AM;09/24/2018;Adoption;Foster;Dog;Spayed Female;2 years;Great Dane/Blue Lacy;Blue/White
A823412;Chiaotzu;09/28/2020 04:07:00 PM;03/13/2020;Adoption;;Cat;Neutered Male;6 months;Domestic Shorthair Mix;Black/White
A807714;;11/01/2019 02:01:00 PM;08/28/2019;Transfer;Partner;Cat;Intact Male;2 months;Domestic Shorthair;Orange Tabby
A801927;Gordo;08/17/2019 10:26:00 AM;02/12/2017;Return to Owner;;Dog;Intact Male;2 years;Chihuahua Shorthair;White/Black
A794253;*Banjo;05/19/2019 06:46:00 PM;05/05/2018;Adoption;;Dog;Neutered Male;1 year;Australian Cattle Dog Mix;Red/White
A787779;*Violet;03/09/2019 11:55:00 AM;12/17/2018;Adoption;Foster;Dog;Spayed Female;2 months;Miniature Poodle/Miniature Schnauzer;White
A801455;;08/08/2019 11:39:00 AM;04/19/2019;Transfer;Snr;Cat;Intact Female;3 months;Domestic Shorthair Mix;Orange Tabby
A813000;;02/06/2020 04:47:00 PM;02/01/2018;Adoption;;Dog;Spayed Female;2 years;Chihuahua Shorthair;Tricolor
A806841;Fiona;10/29/2019 03:53:00 PM;10/16/2017;Adoption;;Dog;Intact Female;2 years;Beagle Mix;White/Brown
A819005;*Butters;09/08/2020 10:32:00 AM;05/19/2020;Adoption;Foster;Cat;Neutered Male;3 months;Domestic Shorthair;Orange Tabby/White
A822470;*Orville;09/19/2020 12:08:00 PM;07/15/2020;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair;Brown Tabby/White
A811478;;01/12/2020 11:38:00 AM;08/04/2019;Adoption;;Other;Intact Male;5 months;Guinea Pig;Tan/Tricolor
A792976;*Electra;04/23/2019 02:27:00 PM;02/03/2019;Transfer;Partner;Dog;Spayed Female;2 months;Anatol Shepherd Mix;Tan
A810947;Gordo;12/23/2019 03:36:00 PM;12/23/2017;Return to Owner;;Dog;Intact Male;2 years;Shih Tzu;Tricolor
A785935;Kino;01/07/2019 02:58:00 PM;09/25/2018;Adoption;;Dog;Neutered Male;3 months;Australian Shepherd Mix;Tricolor
A802686;*Jupiter;10/18/2019 01:07:00 PM;07/10/2019;Adoption;Foster;Cat;Spayed Female;3 months;Domestic Shorthair;Blue Tabby
A791080;*Wookie;04/26/2019 12:11:00 PM;03/21/2018;Adoption;;Dog;Neutered Male;1 year;Tibetan Terrier Mix;Tricolor
A793917;*Fiona;05/14/2019 03:20:00 PM;08/01/2018;Adoption;;Cat;Spayed Female;9 months;Domestic Shorthair Mix;Brown Tabby/White
A805157;;10/09/2019 04:10:00 PM;09/23/2018;Return to Owner;;Bird;Unknown;1 year;Chicken;Red
A796848;;06/06/2019 04:05:00 PM;05/15/2019;Transfer;Partner;Cat;Intact Female;3 weeks;Domestic Shorthair;Gray/White
A788871;;02/14/2019 04:22:00 PM;12/06/2018;Adoption;;Dog;Neutered Male;2 months;German Shepherd/Catahoula;Blue Merle
A793027;;04/21/2019 07:06:00 PM;04/18/2018;Transfer;Snr;Cat;Intact Male;1 year;Domestic Medium Hair Mix;Orange Tabby
A791161;;03/22/2019 10:27:00 AM;03/22/2017;Euthanasia;Rabies Risk;Other;Unknown;2 years;Bat Mix;Brown
A799731;;07/15/2019 04:11:00 PM;07/11/2018;Adoption;;Cat;Spayed Female;1 year;Domestic Shorthair;Torbie
A795712;;06/10/2019 02:43:00 PM;02/23/2019;Died;In Kennel;Dog;Intact Male;3 months;Boxer;Black/White
A798098;*Sailor;07/04/2019 04:11:00 PM;04/21/2019;Adoption;;Dog;Spayed Female;2 months;Pit Bull;Black Brindle
A797556;*Marley;07/01/2019 01:48:00 PM;05/12/2019;Transfer;Partner;Cat;Intact Male;1 month;Siamese;Flame Point
A813808;;02/24/2020 12:00:00 AM;02/18/2008;Transfer;Partner;Cat;Intact Female;12 years;Domestic Shorthair;Gray/White
A812546;Rosa;02/14/2020 05:42:00 PM;03/24/2019;Adoption;;Dog;Intact Female;10 months;Pit Bull Mix;White
A813344;;02/14/2020 05:26:00 PM;10/08/2019;Adoption;;Dog;Spayed Female;4 months;German Shepherd Mix;Black/Tricolor
A807245;*Buffy;11/05/2019 11:43:00 AM;11/01/2014;Transfer;Partner;Dog;Spayed Female;5 years;German Shepherd;Brown/Black
A791550;Chase;03/28/2019 05:55:00 PM;01/20/2019;Adoption;;Dog;Neutered Male;2 months;German Shepherd Mix;Black/Tan
A797199;*Anson;06/22/2019 12:35:00 PM;04/10/2019;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair;Brown Tabby
A800535;;08/19/2019 06:41:00 PM;05/19/2019;Adoption;;Cat;Spayed Female;3 months;Domestic Shorthair;Tortie
A817393;*Elsie;06/02/2020 11:14:00 AM;02/18/2019;Transfer;Partner;Dog;Intact Female;1 year;Maltese;White
A795697;;05/27/2019 03:54:00 PM;03/23/2019;Adoption;;Cat;Neutered Male;2 months;Domestic Medium Hair;Brown Tabby/White
A824804;Bobo;10/21/2020 06:46:00 PM;10/21/2012;Return to Owner;;Dog;Neutered Male;8 years;Labrador Retriever;Black/White
A813487;*Vitani;02/18/2020 02:29:00 PM;02/11/2019;Transfer;Partner;Dog;Intact Female;1 year;German Shepherd;Brown/Black
A794783;Buddy Boy;06/19/2019 12:45:00 PM;04/24/2019;Adoption;Foster;Cat;Intact Male;1 month;Domestic Shorthair;Black/White
A820593;;07/23/2020 04:50:00 PM;07/23/2019;Transfer;Partner;Dog;Intact Female;1 year;Pekingese/Boston Terrier;Brown/White
A801852;;10/10/2019 12:54:00 PM;07/10/2019;Adoption;Foster;Cat;Spayed Female;3 months;Domestic Shorthair;Cream Tabby
A812775;Yoda;02/14/2020 03:57:00 PM;09/05/2019;Adoption;;Cat;Neutered Male;5 months;Domestic Shorthair;Blue/White
A824639;Dolly;10/30/2020 07:22:00 PM;10/19/2018;Adoption;;Dog;Spayed Female;2 years;Border Collie Mix;White/Black
A813060;*Bella;02/10/2020 03:36:00 PM;02/03/2019;Transfer;Partner;Dog;Spayed Female;1 year;Pit Bull;Black Brindle
A798910;Felix;07/03/2019 12:16:00 PM;07/02/2016;Return to Owner;;Dog;Neutered Male;3 years;Labrador Retriever;Black
A790083;*Cisco;03/20/2019 01:44:00 PM;03/04/2016;Transfer;Partner;Dog;Intact Male;3 years;Labrador Retriever Mix;Brown/White
A805732;*Lacey;10/05/2019 07:31:00 PM;10/01/2018;Transfer;Partner;Dog;Spayed Female;1 year;Border Terrier;Brown/Tricolor
A814274;;03/01/2020 06:18:00 PM;11/26/2019;Adoption;;Dog;Neutered Male;3 months;Labrador Retriever;Black/Tan
A794964;Scarf;06/03/2019 09:54:00 PM;05/14/2016;Adoption;;Cat;Spayed Female;3 years;Domestic Shorthair;Black/White
A795337;*Cello;07/21/2019 02:06:00 PM;05/19/2017;Adoption;;Dog;Intact Male;2 years;Pit Bull;Tan
A817466;Coal;05/27/2020 02:25:00 PM;05/16/2016;Return to Owner;;Dog;Neutered Male;4 years;Pit Bull Mix;Blue/White
A821156;*Kukicha;08/26/2020 10:54:00 AM;06/26/2020;Adoption;Foster;Cat;Spayed Female;1 month;Domestic Shorthair;Brown Tabby
A805254;*Bobby;09/24/2019 08:25:00 AM;06/01/2019;Euthanasia;Suffering;Cat;Intact Male;3 months;Domestic Shorthair;Brown Tabby
A805827;Lady;10/08/2019 04:38:00 PM;05/02/2019;Adoption;;Dog;Spayed Female;5 months;Australian Shepherd;Tan
A819484;;06/29/2020 05:13:00 PM;06/29/2018;Euthanasia;Suffering;Other;Unknown;2 years;Raccoon;Gray/Black
A801224;;08/04/2019 11:26:00 AM;06/03/2019;Adoption;;Dog;Spayed Female;2 months;Vizsla;Brown
A789174;Abigail;02/21/2019 03:02:00 PM;02/16/2018;Adoption;;Dog;Spayed Female;1 year;Chihuahua Shorthair/Dachshund;Tan/White
A803934;*Dorothy;10/08/2019 03:50:00 PM;09/08/2014;Transfer;Partner;Dog;Spayed Female;5 years;Boxer;Tan/White
A816469;Voodoo;05/01/2020 04:49:00 PM;05/19/2019;Return to Owner;;Dog;Spayed Female;11 months;Labrador Retriever/German Shepherd;Black/White
A819124;Max;07/01/2020 12:29:00 PM;06/22/2018;Return to Owner;;Dog;Intact Male;2 years;German Shepherd;Black/Brown
A793292;Emma;04/23/2019 12:03:00 PM;05/22/2010;Return to Owner;;Dog;Spayed Female;8 years;Chihuahua Shorthair Mix;Tan
A812884;Sadie;02/05/2020 01:25:00 PM;01/30/2014;Adoption;;Dog;Spayed Female;6 years;Rottweiler;Black/Tan
A793745;April;05/03/2019 10:15:00 PM;09/29/2018;Rto-Adopt;;Dog;Spayed Female;7 months;Rhod Ridgeback Mix;Sable/White
A795321;Ese;05/21/2019 04:05:00 PM;05/19/2016;Return to Owner;;Dog;Neutered Male;3 years;Chihuahua Shorthair;Brown
A792042;Tony;04/07/2019 04:34:00 PM;08/04/2018;Adoption;;Dog;Neutered Male;8 months;Chihuahua Shorthair Mix;Tan
A788105;Riko;03/08/2020 06:08:00 PM;02/26/2018;Adoption;;Dog;Neutered Male;2 years;Akita/Australian Cattle Dog;Tan/White
A762462;Vinney;05/12/2020 03:06:00 PM;11/20/2015;Adoption;Foster;Dog;Neutered Male;4 years;Staffordshire Mix;Black/White
A810928;;01/02/2020 04:44:00 PM;12/22/2017;Transfer;Partner;Bird;Intact Female;2 years;Chicken;Brown/White
A790247;Fiona;03/12/2019 05:00:00 PM;03/06/2018;Adoption;;Dog;Spayed Female;1 year;Anatol Shepherd/Great Pyrenees;White/Gray
A794787;*Grover;06/26/2019 01:33:00 PM;04/19/2019;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair;Brown Tabby/White
A801618;;08/08/2019 10:58:00 AM;08/06/2017;Euthanasia;Rabies Risk;Other;Unknown;2 years;Bat;Brown
A804435;;09/14/2019 05:07:00 PM;09/14/2019;Transfer;Partner;Cat;Unknown;0 years;Domestic Shorthair;Brown Tabby
A791067;;03/21/2019 11:08:00 AM;03/20/2017;Euthanasia;Rabies Risk;Other;Unknown;2 years;Bat Mix;Brown
A780735;Cowboy;01/05/2019 02:48:00 PM;09/19/2016;Adoption;;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Brown Tabby/White
A792389;;04/10/2019 11:16:00 AM;04/07/2019;Transfer;Partner;Cat;Intact Male;3 days;Domestic Shorthair Mix;Brown Tabby/White
A808322;Shadow;12/23/2019 04:26:00 PM;11/07/2010;Adoption;;Cat;Spayed Female;9 years;Manx;Black
A796753;*Macdougal;08/14/2019 08:11:00 AM;05/05/2019;Adoption;Foster;Cat;Neutered Male;3 months;Domestic Shorthair;Orange Tabby
A808292;;11/11/2019 04:25:00 PM;11/07/2018;Euthanasia;At Vet;Cat;Intact Male;1 year;Domestic Shorthair;Cream
A813843;Mr.Roo;02/25/2020 11:36:00 AM;02/19/2011;Transfer;Partner;Dog;Neutered Male;9 years;Pembroke Welsh Corgi Mix;Tan/White
A794427;Coco;05/08/2019 05:38:00 PM;05/08/2017;Return to Owner;Customer S;Dog;Neutered Male;2 years;Golden Retriever;Gold
A804104;*Hogan;09/20/2019 04:11:00 PM;09/10/2015;Adoption;;Dog;Neutered Male;4 years;German Shepherd;Black/Brown
A825315;;11/02/2020 09:02:00 AM;11/01/2019;Disposal;;Other;Unknown;1 year;Bat;Brown
A801007;Levi;08/09/2019 11:12:00 AM;07/30/2014;Return to Owner;;Dog;Neutered Male;5 years;Australian Shepherd;Blue Merle
A749369;Spot;04/13/2019 12:28:00 PM;05/14/2016;Return to Owner;;Dog;Neutered Male;2 years;Australian Cattle Dog;Red/White
A820258;*Willoughby;11/24/2020 01:48:00 PM;06/23/2020;Adoption;;Cat;Neutered Male;5 months;Domestic Shorthair;Black/White
A825596;Alfredo;11/07/2020 12:09:00 PM;11/07/2018;Return to Owner;;Cat;Neutered Male;2 years;Domestic Shorthair;Brown Tabby/White
A799120;Chiqis;07/05/2019 05:09:00 PM;07/05/2009;Return to Owner;;Dog;Intact Female;10 years;Yorkshire Terrier Mix;Red
A808924;Mr. Whiskers;11/22/2019 02:26:00 PM;09/09/2019;Adoption;;Cat;Intact Male;2 months;Domestic Shorthair;Gray Tabby
A818072;;06/01/2020 01:18:00 PM;05/10/2020;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;Black Smoke
A807327;;10/28/2019 04:51:00 PM;08/11/2019;Adoption;;Dog;Spayed Female;2 months;German Shepherd;Black/Red
A822773;*Buck;09/16/2020 11:34:00 AM;12/09/2019;Adoption;;Dog;Neutered Male;9 months;Australian Kelpie Mix;Brown Brindle/White
A813933;Lucille;02/21/2020 12:49:00 PM;12/21/2018;Return to Owner;;Dog;Spayed Female;1 year;Belgian Malinois;Brown/Black
A813496;;02/16/2020 10:46:00 AM;02/11/2019;Transfer;Snr;Cat;Intact Male;1 year;Domestic Shorthair;Black/White
A809620;Ramey;01/02/2020 02:43:00 PM;10/06/2019;Adoption;;Cat;Intact Female;2 months;Domestic Medium Hair;Black/White
A816183;;04/12/2020 12:51:00 PM;04/08/2019;Euthanasia;Rabies Risk;Other;Unknown;1 year;Bat;Brown
A822233;;08/28/2020 03:26:00 PM;08/27/2020;Transfer;Partner;Dog;Intact Female;1 day;Australian Shepherd Mix;Brown
A790407;Quincy;03/10/2019 04:31:00 PM;03/09/2009;Transfer;Partner;Dog;Neutered Male;10 years;Cocker Spaniel;Tan/White
A808336;;11/13/2019 03:42:00 PM;11/07/2018;Transfer;Snr;Cat;Intact Female;1 year;Domestic Shorthair;Calico
A821827;*144 Grams;08/20/2020 02:01:00 PM;07/29/2020;Transfer;Partner;Cat;Unknown;3 weeks;Domestic Shorthair;Gray
A790298;*Reba;03/20/2019 01:42:00 PM;03/07/2018;Transfer;Partner;Dog;Intact Female;1 year;Black Mouth Cur Mix;Tan/White
A803016;;08/30/2019 04:44:00 PM;06/26/2019;Adoption;;Dog;Neutered Male;2 months;Pembroke Welsh Corgi/Chihuahua Shorthair;Brown/White
A572200;Zimba;10/11/2019 12:37:00 PM;10/29/2008;Rto-Adopt;;Dog;Neutered Male;10 years;Pit Bull Mix;Brown/White
A727711;Peeka;04/13/2019 11:35:00 AM;03/25/2016;Adoption;;Cat;Spayed Female;3 years;Domestic Shorthair Mix;Brown Tabby/White
A801414;*Maestro;08/21/2019 11:07:00 AM;02/04/2018;Transfer;Partner;Dog;Neutered Male;1 year;Labrador Retriever;White
A788086;Stoney;01/30/2019 01:30:00 PM;05/14/2018;Return to Owner;;Dog;Intact Male;8 months;American Bulldog Mix;Blue/White
A812350;Blacky;01/21/2020 02:21:00 PM;07/21/2009;Return to Owner;;Dog;Neutered Male;10 years;Labrador Retriever Mix;Black
A806358;Roxie;12/06/2019 07:07:00 PM;09/03/2019;Adoption;;Dog;Spayed Female;3 months;Labrador Retriever Mix;Black/White
A786791;*Snowball;02/22/2019 05:42:00 PM;12/29/2018;Adoption;Foster;Dog;Spayed Female;1 month;Labrador Retriever Mix;White
A794734;;05/15/2019 04:50:00 PM;03/11/2019;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair;Gray
A822432;;09/08/2020 05:26:00 PM;06/21/2020;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair;Blue
A791029;*Indy;04/03/2019 04:29:00 PM;03/20/2017;Adoption;;Dog;Neutered Male;2 years;German Shepherd Mix;Black/Tricolor
A787009;Nico;01/08/2019 06:33:00 PM;01/06/2017;Return to Owner;;Dog;Neutered Male;2 years;West Highland/Patterdale Terr;Cream
A811728;Duke;01/17/2020 06:46:00 PM;04/08/2019;Adoption;;Dog;Neutered Male;9 months;Boxer;Tan/Black
A805202;*Mr.Biscuit;10/31/2019 06:55:00 PM;09/24/2017;Adoption;;Cat;Neutered Male;2 years;Domestic Shorthair;Brown Tabby
A800738;*Geraint;08/06/2019 12:00:00 AM;05/28/2019;Transfer;Partner;Cat;Neutered Male;2 months;Domestic Shorthair;Black
A799372;;08/03/2019 05:05:00 PM;05/08/2019;Transfer;Partner;Cat;Intact Female;2 months;Domestic Shorthair;Brown Tabby
A798516;;06/30/2019 03:19:00 PM;04/26/2019;Transfer;Partner;Dog;Intact Female;2 months;Labrador Retriever Mix;Tan
A813161;Canela;02/10/2020 04:19:00 PM;07/05/2019;Rto-Adopt;;Dog;Spayed Female;7 months;Pit Bull;Brown/White
A799979;Oreo;07/19/2019 09:12:00 AM;05/14/2019;Euthanasia;Suffering;Dog;Intact Female;2 months;Pit Bull;Black/White
A817210;Serenity;05/18/2020 09:31:00 AM;05/10/2008;Euthanasia;Suffering;Cat;Neutered Male;12 years;Domestic Shorthair;White
A799048;;07/12/2019 12:35:00 PM;07/03/2018;Adoption;;Dog;Spayed Female;1 year;Boston Terrier/Pit Bull;Black/White
A804741;*Rinny;09/27/2019 04:25:00 PM;08/31/2019;Transfer;Partner;Cat;Intact Female;3 weeks;Domestic Shorthair;Tortie
A788660;Amber Cat;02/06/2019 01:54:00 PM;02/06/2018;Return to Owner;;Cat;Spayed Female;1 year;Domestic Shorthair Mix;Calico
A805762;Kapua;12/17/2019 08:58:00 AM;10/01/2009;Adoption;Foster;Dog;Spayed Female;10 years;Chihuahua Shorthair;Tan
A795513;;05/27/2019 03:29:00 PM;05/21/2017;Adoption;;Dog;Spayed Female;2 years;Chihuahua Shorthair;Black/White
A795485;Lil Lady;05/30/2019 04:33:00 PM;05/21/2018;Adoption;;Cat;Spayed Female;1 year;Domestic Shorthair;White/Black
A799407;Puppy Boy;07/09/2019 06:22:00 PM;07/08/2014;Return to Owner;;Dog;Neutered Male;5 years;Chihuahua Shorthair;Tan/White
A786588;*Nebula;01/02/2019 12:18:00 PM;12/28/2016;Return to Owner;;Dog;Spayed Female;2 years;Pit Bull Mix;Black/White
A822164;*Elizabeth;09/16/2020 06:21:00 PM;07/20/2020;Adoption;;Dog;Spayed Female;1 month;Labrador Retriever Mix;Black/Brown
A807214;Orange;10/27/2019 02:15:00 PM;07/06/2019;Return to Owner;;Cat;Neutered Male;3 months;Domestic Shorthair;Orange Tabby
A790716;*Caesar;04/07/2019 10:50:00 AM;09/15/2014;Adoption;;Dog;Neutered Male;4 years;Alaskan Malamute;Tricolor
A787629;;01/21/2019 04:51:00 PM;10/17/2018;Adoption;;Dog;Spayed Female;3 months;Labrador Retriever Mix;Black
A820934;Bevo;08/03/2020 03:14:00 PM;02/01/2020;Return to Owner;;Dog;Intact Male;6 months;Staffordshire;White/Black
A802479;;08/19/2019 09:01:00 AM;08/18/2017;Euthanasia;Rabies Risk;Other;Unknown;2 years;Bat;Brown
A822419;;10/23/2020 12:10:00 PM;07/26/2020;Adoption;Foster;Dog;Neutered Male;2 months;Labrador Retriever;Brown
A796160;;06/08/2019 12:34:00 PM;03/29/2019;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair;Black
A823708;;09/30/2020 09:00:00 AM;09/29/2018;Euthanasia;Rabies Risk;Other;Unknown;2 years;Fox;Brown/White
A790606;;05/12/2019 06:35:00 PM;03/12/2019;Adoption;;Dog;Spayed Female;1 month;Australian Shepherd Mix;White/Black
A815548;;03/22/2020 01:46:00 PM;03/18/2019;Died;Enroute;Dog;Intact Male;1 year;Rat Terrier;Tricolor
A823118;;09/21/2020 09:00:00 AM;09/16/2019;Euthanasia;Rabies Risk;Cat;Unknown;1 year;Domestic Shorthair;Brown Tabby/White
A804264;;09/17/2019 05:28:00 PM;09/12/2017;Transfer;Snr;Cat;Unknown;2 years;Domestic Shorthair;Tortie
A806999;Spot;10/23/2019 12:25:00 PM;03/19/2019;Transfer;Partner;Dog;Intact Male;7 months;Boxer/American Bulldog;White/Black
A822444;*Barnaby;10/13/2020 02:22:00 PM;09/02/2017;Adoption;Foster;Dog;Neutered Male;3 years;Black Mouth Cur Mix;Brown
A787649;;01/29/2019 01:47:00 PM;01/17/2018;Adoption;;Dog;Neutered Male;1 year;Chihuahua Shorthair Mix;Brown/White
A814507;Sadie;03/11/2020 11:56:00 AM;03/01/2010;Return to Owner;;Dog;Intact Female;10 years;Jack Russell Terrier Mix;Tricolor
A798934;;07/15/2019 05:59:00 PM;04/17/2019;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair;Blue Tabby
A820497;*Beatrice;10/01/2020 12:00:00 PM;04/06/2020;Adoption;;Cat;Spayed Female;5 months;Domestic Shorthair Mix;Blue Tabby/White
A788168;Billy;02/05/2019 12:54:00 PM;01/27/2013;Return to Owner;;Cat;Neutered Male;6 years;Domestic Shorthair Mix;White/Brown Tabby
A807322;;10/27/2019 10:19:00 AM;10/23/2018;Transfer;Snr;Cat;Intact Female;1 year;Domestic Shorthair;Calico
A796211;Poppy;06/03/2019 11:28:00 AM;05/30/2014;Transfer;Partner;Dog;Intact Female;5 years;Rat Terrier;Tricolor/Brown
A598352;Georgia;05/28/2019 04:41:00 PM;03/02/2010;Return to Owner;;Dog;Spayed Female;9 years;Miniature Poodle;White
A803635;Friday;09/04/2019 11:32:00 AM;06/03/2019;Return to Owner;;Dog;Intact Female;3 months;Miniature Schnauzer;Black/White
A807837;Tracker;11/10/2019 04:30:00 PM;10/30/2016;Adoption;;Dog;Neutered Male;3 years;Anatol Shepherd Mix;Tan/White
A801095;*Ozzy;09/27/2019 06:34:00 PM;05/22/2019;Adoption;;Cat;Neutered Male;4 months;Domestic Medium Hair;Blue Tabby
A790027;Ripley;03/04/2019 12:24:00 PM;12/16/2018;Transfer;Partner;Dog;Intact Male;2 months;Chihuahua Shorthair Mix;Tan
A785450;Azumi;10/27/2019 04:57:00 PM;10/03/2018;Adoption;;Dog;Spayed Female;1 year;German Shepherd Mix;Tan/White
A821864;Mello;08/26/2020 01:04:00 PM;05/28/2020;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair;White/Gray
A812913;Ripley;02/04/2020 04:59:00 PM;08/16/2019;Adoption;;Dog;Spayed Female;5 months;Labrador Retriever/Pit Bull;Brown/White
A794214;;05/05/2019 08:42:00 AM;05/05/2018;Euthanasia;Suffering;Other;Unknown;1 year;Bat Mix;Black
A790775;Wally;03/17/2019 11:51:00 AM;03/16/2017;Return to Owner;;Dog;Neutered Male;2 years;Miniature Poodle Mix;Cream
A792007;*Penny;06/19/2019 10:24:00 PM;04/03/2019;Adoption;;Dog;Spayed Female;2 months;Pit Bull Mix;Black/White
